maladie,annee,region,indicateur,valeur,unite
cardiovasculaire,2018,Auvergne-Rhône-Alpes,prevalence,9.2,%
cardiovasculaire,2018,Auvergne-Rhône-Alpes,mortalite,162.0,pour 100 000 hab
cardiovasculaire,2018,Bourgogne-Franche-Comté,prevalence,8.1,%
cardiovasculaire,2018,Bourgogne-Franche-Comté,mortalite,166.0,pour 100 000 hab
cardiovasculaire,2018,Bretagne,prevalence,8.1,%
cardiovasculaire,2018,Bretagne,mortalite,151.0,pour 100 000 hab
cardiovasculaire,2018,Centre-Val de Loire,prevalence,9.2,%
cardiovasculaire,2018,Centre-Val de Loire,mortalite,152.0,pour 100 000 hab
cardiovasculaire,2018,Corse,prevalence,9.1,%
cardiovasculaire,2018,Corse,mortalite,151.0,pour 100 000 hab
cardiovasculaire,2018,Grand Est,prevalence,9.1,%
cardiovasculaire,2018,Grand Est,mortalite,161.0,pour 100 000 hab
cardiovasculaire,2018,Hauts-de-France,prevalence,9.1,%
cardiovasculaire,2018,Hauts-de-France,mortalite,151.0,pour 100 000 hab
cardiovasculaire,2018,Normandie,prevalence,8.4,%
cardiovasculaire,2018,Normandie,mortalite,159.0,pour 100 000 hab
cardiovasculaire,2018,Nouvelle-Aquitaine,prevalence,9.3,%
cardiovasculaire,2018,Nouvelle-Aquitaine,mortalite,163.0,pour 100 000 hab
cardiovasculaire,2018,Occitanie,prevalence,8.8,%
cardiovasculaire,2018,Occitanie,mortalite,158.0,pour 100 000 hab
cardiovasculaire,2018,Pays de la Loire,prevalence,8.8,%
cardiovasculaire,2018,Pays de la Loire,mortalite,163.0,pour 100 000 hab
cardiovasculaire,2018,Provence-Alpes-Côte d'Azur,prevalence,8.2,%
cardiovasculaire,2018,Provence-Alpes-Côte d'Azur,mortalite,162.0,pour 100 000 hab
cardiovasculaire,2018,Île-de-France,prevalence,8.7,%
cardiovasculaire,2018,Île-de-France,mortalite,152.0,pour 100 000 hab
cardiovasculaire,2019,Auvergne-Rhône-Alpes,prevalence,9.35,%
cardiovasculaire,2019,Auvergne-Rhône-Alpes,mortalite,159.0,pour 100 000 hab
cardiovasculaire,2019,Bourgogne-Franche-Comté,prevalence,8.25,%
cardiovasculaire,2019,Bourgogne-Franche-Comté,mortalite,163.0,pour 100 000 hab
cardiovasculaire,2019,Bretagne,prevalence,8.25,%
cardiovasculaire,2019,Bretagne,mortalite,148.0,pour 100 000 hab
cardiovasculaire,2019,Centre-Val de Loire,prevalence,9.35,%
cardiovasculaire,2019,Centre-Val de Loire,mortalite,149.0,pour 100 000 hab
cardiovasculaire,2019,Corse,prevalence,9.25,%
cardiovasculaire,2019,Corse,mortalite,148.0,pour 100 000 hab
cardiovasculaire,2019,Grand Est,prevalence,9.25,%
cardiovasculaire,2019,Grand Est,mortalite,158.0,pour 100 000 hab
cardiovasculaire,2019,Hauts-de-France,prevalence,9.25,%
cardiovasculaire,2019,Hauts-de-France,mortalite,148.0,pour 100 000 hab
cardiovasculaire,2019,Normandie,prevalence,8.55,%
cardiovasculaire,2019,Normandie,mortalite,156.0,pour 100 000 hab
cardiovasculaire,2019,Nouvelle-Aquitaine,prevalence,9.45,%
cardiovasculaire,2019,Nouvelle-Aquitaine,mortalite,160.0,pour 100 000 hab
cardiovasculaire,2019,Occitanie,prevalence,8.95,%
cardiovasculaire,2019,Occitanie,mortalite,155.0,pour 100 000 hab
cardiovasculaire,2019,Pays de la Loire,prevalence,8.95,%
cardiovasculaire,2019,Pays de la Loire,mortalite,160.0,pour 100 000 hab
cardiovasculaire,2019,Provence-Alpes-Côte d'Azur,prevalence,8.35,%
cardiovasculaire,2019,Provence-Alpes-Côte d'Azur,mortalite,159.0,pour 100 000 hab
cardiovasculaire,2019,Île-de-France,prevalence,8.85,%
cardiovasculaire,2019,Île-de-France,mortalite,149.0,pour 100 000 hab
cardiovasculaire,2020,Auvergne-Rhône-Alpes,prevalence,9.5,%
cardiovasculaire,2020,Auvergne-Rhône-Alpes,mortalite,156.0,pour 100 000 hab
cardiovasculaire,2020,Bourgogne-Franche-Comté,prevalence,8.4,%
cardiovasculaire,2020,Bourgogne-Franche-Comté,mortalite,160.0,pour 100 000 hab
cardiovasculaire,2020,Bretagne,prevalence,8.4,%
cardiovasculaire,2020,Bretagne,mortalite,145.0,pour 100 000 hab
cardiovasculaire,2020,Centre-Val de Loire,prevalence,9.5,%
cardiovasculaire,2020,Centre-Val de Loire,mortalite,146.0,pour 100 000 hab
cardiovasculaire,2020,Corse,prevalence,9.4,%
cardiovasculaire,2020,Corse,mortalite,145.0,pour 100 000 hab
cardiovasculaire,2020,Grand Est,prevalence,9.4,%
cardiovasculaire,2020,Grand Est,mortalite,155.0,pour 100 000 hab
cardiovasculaire,2020,Hauts-de-France,prevalence,9.4,%
cardiovasculaire,2020,Hauts-de-France,mortalite,145.0,pour 100 000 hab
cardiovasculaire,2020,Normandie,prevalence,8.7,%
cardiovasculaire,2020,Normandie,mortalite,153.0,pour 100 000 hab
cardiovasculaire,2020,Nouvelle-Aquitaine,prevalence,9.6,%
cardiovasculaire,2020,Nouvelle-Aquitaine,mortalite,157.0,pour 100 000 hab
cardiovasculaire,2020,Occitanie,prevalence,9.1,%
cardiovasculaire,2020,Occitanie,mortalite,152.0,pour 100 000 hab
cardiovasculaire,2020,Pays de la Loire,prevalence,9.1,%
cardiovasculaire,2020,Pays de la Loire,mortalite,157.0,pour 100 000 hab
cardiovasculaire,2020,Provence-Alpes-Côte d'Azur,prevalence,8.5,%
cardiovasculaire,2020,Provence-Alpes-Côte d'Azur,mortalite,156.0,pour 100 000 hab
cardiovasculaire,2020,Île-de-France,prevalence,9.0,%
cardiovasculaire,2020,Île-de-France,mortalite,146.0,pour 100 000 hab
cardiovasculaire,2021,Auvergne-Rhône-Alpes,prevalence,9.65,%
cardiovasculaire,2021,Auvergne-Rhône-Alpes,mortalite,153.0,pour 100 000 hab
cardiovasculaire,2021,Bourgogne-Franche-Comté,prevalence,8.55,%
cardiovasculaire,2021,Bourgogne-Franche-Comté,mortalite,157.0,pour 100 000 hab
cardiovasculaire,2021,Bretagne,prevalence,8.55,%
cardiovasculaire,2021,Bretagne,mortalite,142.0,pour 100 000 hab
cardiovasculaire,2021,Centre-Val de Loire,prevalence,9.65,%
cardiovasculaire,2021,Centre-Val de Loire,mortalite,143.0,pour 100 000 hab
cardiovasculaire,2021,Corse,prevalence,9.55,%
cardiovasculaire,2021,Corse,mortalite,142.0,pour 100 000 hab
cardiovasculaire,2021,Grand Est,prevalence,9.55,%
cardiovasculaire,2021,Grand Est,mortalite,152.0,pour 100 000 hab
cardiovasculaire,2021,Hauts-de-France,prevalence,9.55,%
cardiovasculaire,2021,Hauts-de-France,mortalite,142.0,pour 100 000 hab
cardiovasculaire,2021,Normandie,prevalence,8.85,%
cardiovasculaire,2021,Normandie,mortalite,150.0,pour 100 000 hab
cardiovasculaire,2021,Nouvelle-Aquitaine,prevalence,9.75,%
cardiovasculaire,2021,Nouvelle-Aquitaine,mortalite,154.0,pour 100 000 hab
cardiovasculaire,2021,Occitanie,prevalence,9.25,%
cardiovasculaire,2021,Occitanie,mortalite,149.0,pour 100 000 hab
cardiovasculaire,2021,Pays de la Loire,prevalence,9.25,%
cardiovasculaire,2021,Pays de la Loire,mortalite,154.0,pour 100 000 hab
cardiovasculaire,2021,Provence-Alpes-Côte d'Azur,prevalence,8.65,%
cardiovasculaire,2021,Provence-Alpes-Côte d'Azur,mortalite,153.0,pour 100 000 hab
cardiovasculaire,2021,Île-de-France,prevalence,9.15,%
cardiovasculaire,2021,Île-de-France,mortalite,143.0,pour 100 000 hab
cardiovasculaire,2022,Auvergne-Rhône-Alpes,prevalence,9.8,%
cardiovasculaire,2022,Auvergne-Rhône-Alpes,mortalite,150.0,pour 100 000 hab
cardiovasculaire,2022,Bourgogne-Franche-Comté,prevalence,8.7,%
cardiovasculaire,2022,Bourgogne-Franche-Comté,mortalite,154.0,pour 100 000 hab
cardiovasculaire,2022,Bretagne,prevalence,8.7,%
cardiovasculaire,2022,Bretagne,mortalite,139.0,pour 100 000 hab
cardiovasculaire,2022,Centre-Val de Loire,prevalence,9.8,%
cardiovasculaire,2022,Centre-Val de Loire,mortalite,140.0,pour 100 000 hab
cardiovasculaire,2022,Corse,prevalence,9.7,%
cardiovasculaire,2022,Corse,mortalite,139.0,pour 100 000 hab
