maladie,annee,region,indicateur,valeur,unite
diabete,2018,Auvergne-Rhône-Alpes,prevalence,5.2,%
diabete,2018,Auvergne-Rhône-Alpes,incidence,432.0,pour 100 000 hab
diabete,2018,Bourgogne-Franche-Comté,prevalence,5.6,%
diabete,2018,Bourgogne-Franche-Comté,incidence,406.0,pour 100 000 hab
diabete,2018,Bretagne,prevalence,5.1,%
diabete,2018,Bretagne,incidence,401.0,pour 100 000 hab
diabete,2018,Centre-Val de Loire,prevalence,5.2,%
diabete,2018,Centre-Val de Loire,incidence,432.0,pour 100 000 hab
diabete,2018,Corse,prevalence,5.1,%
diabete,2018,Corse,incidence,441.0,pour 100 000 hab
diabete,2018,Grand Est,prevalence,5.1,%
diabete,2018,Grand Est,incidence,401.0,pour 100 000 hab
diabete,2018,Hauts-de-France,prevalence,5.1,%
diabete,2018,Hauts-de-France,incidence,411.0,pour 100 000 hab
diabete,2018,Normandie,prevalence,5.9,%
diabete,2018,Normandie,incidence,449.0,pour 100 000 hab
diabete,2018,Nouvelle-Aquitaine,prevalence,5.3,%
diabete,2018,Nouvelle-Aquitaine,incidence,443.0,pour 100 000 hab
diabete,2018,Occitanie,prevalence,5.8,%
diabete,2018,Occitanie,incidence,408.0,pour 100 000 hab
diabete,2018,Pays de la Loire,prevalence,5.3,%
diabete,2018,Pays de la Loire,incidence,403.0,pour 100 000 hab
diabete,2018,Provence-Alpes-Côte d'Azur,prevalence,5.2,%
diabete,2018,Provence-Alpes-Côte d'Azur,incidence,402.0,pour 100 000 hab
diabete,2018,Île-de-France,prevalence,5.2,%
diabete,2018,Île-de-France,incidence,442.0,pour 100 000 hab
diabete,2019,Auvergne-Rhône-Alpes,prevalence,5.4,%
diabete,2019,Auvergne-Rhône-Alpes,incidence,442.0,pour 100 000 hab
diabete,2019,Bourgogne-Franche-Comté,prevalence,5.8,%
diabete,2019,Bourgogne-Franche-Comté,incidence,416.0,pour 100 000 hab
diabete,2019,Bretagne,prevalence,5.3,%
diabete,2019,Bretagne,incidence,411.0,pour 100 000 hab
diabete,2019,Centre-Val de Loire,prevalence,5.4,%
diabete,2019,Centre-Val de Loire,incidence,442.0,pour 100 000 hab
diabete,2019,Corse,prevalence,5.3,%
diabete,2019,Corse,incidence,451.0,pour 100 000 hab
diabete,2019,Grand Est,prevalence,5.3,%
diabete,2019,Grand Est,incidence,411.0,pour 100 000 hab
diabete,2019,Hauts-de-France,prevalence,5.3,%
diabete,2019,Hauts-de-France,incidence,421.0,pour 100 000 hab
diabete,2019,Normandie,prevalence,6.1,%
diabete,2019,Normandie,incidence,459.0,pour 100 000 hab
diabete,2019,Nouvelle-Aquitaine,prevalence,5.5,%
diabete,2019,Nouvelle-Aquitaine,incidence,453.0,pour 100 000 hab
diabete,2019,Occitanie,prevalence,6.0,%
diabete,2019,Occitanie,incidence,418.0,pour 100 000 hab
