maladie,annee,region,indicateur,valeur,unite
digestive,2018,Auvergne-Rhône-Alpes,prevalence,7.2,%
digestive,2018,Auvergne-Rhône-Alpes,incidence,212.0,pour 100 000 hab
digestive,2018,Auvergne-Rhône-Alpes,mortalite,32.0,pour 100 000 hab
digestive,2018,Bourgogne-Franche-Comté,prevalence,7.6,%
digestive,2018,Bourgogne-Franche-Comté,incidence,216.0,pour 100 000 hab
digestive,2018,Bourgogne-Franche-Comté,mortalite,21.0,pour 100 000 hab
digestive,2018,Bretagne,prevalence,7.1,%
digestive,2018,Bretagne,incidence,201.0,pour 100 000 hab
digestive,2018,Bretagne,mortalite,21.0,pour 100 000 hab
digestive,2018,Centre-Val de Loire,prevalence,7.2,%
digestive,2018,Centre-Val de Loire,incidence,212.0,pour 100 000 hab
digestive,2018,Centre-Val de Loire,mortalite,32.0,pour 100 000 hab
digestive,2018,Corse,prevalence,7.1,%
digestive,2018,Corse,incidence,211.0,pour 100 000 hab
digestive,2018,Corse,mortalite,31.0,pour 100 000 hab
digestive,2018,Grand Est,prevalence,7.1,%
digestive,2018,Grand Est,incidence,211.0,pour 100 000 hab
digestive,2018,Grand Est,mortalite,31.0,pour 100 000 hab
digestive,2018,Hauts-de-France,prevalence,7.1,%
digestive,2018,Hauts-de-France,incidence,211.0,pour 100 000 hab
digestive,2018,Hauts-de-France,mortalite,31.0,pour 100 000 hab
digestive,2018,Normandie,prevalence,7.9,%
digestive,2018,Normandie,incidence,219.0,pour 100 000 hab
digestive,2018,Normandie,mortalite,24.0,pour 100 000 hab
digestive,2018,Nouvelle-Aquitaine,prevalence,7.3,%
digestive,2018,Nouvelle-Aquitaine,incidence,213.0,pour 100 000 hab
digestive,2018,Nouvelle-Aquitaine,mortalite,33.0,pour 100 000 hab
digestive,2018,Occitanie,prevalence,7.8,%
digestive,2018,Occitanie,incidence,208.0,pour 100 000 hab
digestive,2018,Occitanie,mortalite,28.0,pour 100 000 hab
digestive,2018,Pays de la Loire,prevalence,7.3,%
digestive,2018,Pays de la Loire,incidence,223.0,pour 100 000 hab
digestive,2018,Pays de la Loire,mortalite,28.0,pour 100 000 hab
digestive,2018,Provence-Alpes-Côte d'Azur,prevalence,7.2,%
digestive,2018,Provence-Alpes-Côte d'Azur,incidence,202.0,pour 100 000 hab
digestive,2018,Provence-Alpes-Côte d'Azur,mortalite,22.0,pour 100 000 hab
digestive,2018,Île-de-France,prevalence,7.2,%
digestive,2018,Île-de-France,incidence,222.0,pour 100 000 hab
digestive,2018,Île-de-France,mortalite,27.0,pour 100 000 hab
digestive,2019,Auvergne-Rhône-Alpes,prevalence,7.32,%
digestive,2019,Auvergne-Rhône-Alpes,incidence,216.0,pour 100 000 hab
digestive,2019,Auvergne-Rhône-Alpes,mortalite,32.0,pour 100 000 hab
digestive,2019,Bourgogne-Franche-Comté,prevalence,7.72,%
digestive,2019,Bourgogne-Franche-Comté,incidence,220.0,pour 100 000 hab
digestive,2019,Bourgogne-Franche-Comté,mortalite,21.0,pour 100 000 hab
digestive,2019,Bretagne,prevalence,7.22,%
digestive,2019,Bretagne,incidence,205.0,pour 100 000 hab
digestive,2019,Bretagne,mortalite,21.0,pour 100 000 hab
digestive,2019,Centre-Val de Loire,prevalence,7.32,%
digestive,2019,Centre-Val de Loire,incidence,216.0,pour 100 000 hab
digestive,2019,Centre-Val de Loire,mortalite,32.0,pour 100 000 hab
digestive,2019,Corse,prevalence,7.22,%
digestive,2019,Corse,incidence,215.0,pour 100 000 hab
digestive,2019,Corse,mortalite,31.0,pour 100 000 hab
digestive,2019,Grand Est,prevalence,7.22,%
digestive,2019,Grand Est,incidence,215.0,pour 100 000 hab
digestive,2019,Grand Est,mortalite,31.0,pour 100 000 hab
digestive,2019,Hauts-de-France,prevalence,7.22,%
digestive,2019,Hauts-de-France,incidence,215.0,pour 100 000 hab
digestive,2019,Hauts-de-France,mortalite,31.0,pour 100 000 hab
digestive,2019,Normandie,prevalence,8.02,%
digestive,2019,Normandie,incidence,223.0,pour 100 000 hab
digestive,2019,Normandie,mortalite,24.0,pour 100 000 hab
digestive,2019,Nouvelle-Aquitaine,prevalence,7.42,%
digestive,2019,Nouvelle-Aquitaine,incidence,217.0,pour 100 000 hab
digestive,2019,Nouvelle-Aquitaine,mortalite,33.0,pour 100 000 hab
digestive,2019,Occitanie,prevalence,7.92,%
digestive,2019,Occitanie,incidence,212.0,pour 100 000 hab
digestive,2019,Occitanie,mortalite,28.0,pour 100 000 hab
digestive,2019,Pays de la Loire,prevalence,7.42,%
digestive,2019,Pays de la Loire,incidence,227.0,pour 100 000 hab
digestive,2019,Pays de la Loire,mortalite,28.0,pour 100 000 hab
digestive,2019,Provence-Alpes-Côte d'Azur,prevalence,7.32,%
digestive,2019,Provence-Alpes-Côte d'Azur,incidence,206.0,pour 100 000 hab
digestive,2019,Provence-Alpes-Côte d'Azur,mortalite,22.0,pour 100 000 hab
digestive,2019,Île-de-France,prevalence,7.32,%
digestive,2019,Île-de-France,incidence,226.0,pour 100 000 hab
digestive,2019,Île-de-France,mortalite,27.0,pour 100 000 hab
digestive,2020,Auvergne-Rhône-Alpes,prevalence,7.44,%
digestive,2020,Auvergne-Rhône-Alpes,incidence,220.0,pour 100 000 hab
digestive,2020,Auvergne-Rhône-Alpes,mortalite,32.0,pour 100 000 hab
digestive,2020,Bourgogne-Franche-Comté,prevalence,7.84,%
digestive,2020,Bourgogne-Franche-Comté,incidence,224.0,pour 100 000 hab
digestive,2020,Bourgogne-Franche-Comté,mortalite,21.0,pour 100 000 hab
digestive,2020,Bretagne,prevalence,7.34,%
digestive,2020,Bretagne,incidence,209.0,pour 100 000 hab
digestive,2020,Bretagne,mortalite,21.0,pour 100 000 hab
digestive,2020,Centre-Val de Loire,prevalence,7.44,%
digestive,2020,Centre-Val de Loire,incidence,220.0,pour 100 000 hab
digestive,2020,Centre-Val de Loire,mortalite,32.0,pour 100 000 hab
digestive,2020,Corse,prevalence,7.34,%
digestive,2020,Corse,incidence,219.0,pour 100 000 hab
digestive,2020,Corse,mortalite,31.0,pour 100 000 hab
digestive,2020,Grand Est,prevalence,7.34,%
