maladie,annee,region,indicateur,valeur,unite
cancer,2018,Auvergne-Rhône-Alpes,incidence,362.0,pour 100 000 hab
cancer,2018,Auvergne-Rhône-Alpes,mortalite,152.0,pour 100 000 hab
cancer,2018,Bourgogne-Franche-Comté,incidence,386.0,pour 100 000 hab
cancer,2018,Bourgogne-Franche-Comté,mortalite,141.0,pour 100 000 hab
cancer,2018,Bretagne,incidence,351.0,pour 100 000 hab
cancer,2018,Bretagne,mortalite,141.0,pour 100 000 hab
cancer,2018,Centre-Val de Loire,incidence,352.0,pour 100 000 hab
cancer,2018,Centre-Val de Loire,mortalite,152.0,pour 100 000 hab
cancer,2018,Corse,incidence,351.0,pour 100 000 hab
cancer,2018,Corse,mortalite,151.0,pour 100 000 hab
cancer,2018,Grand Est,incidence,381.0,pour 100 000 hab
cancer,2018,Grand Est,mortalite,151.0,pour 100 000 hab
cancer,2018,Hauts-de-France,incidence,371.0,pour 100 000 hab
cancer,2018,Hauts-de-France,mortalite,151.0,pour 100 000 hab
cancer,2018,Normandie,incidence,359.0,pour 100 000 hab
cancer,2018,Normandie,mortalite,144.0,pour 100 000 hab
cancer,2018,Nouvelle-Aquitaine,incidence,363.0,pour 100 000 hab
cancer,2018,Nouvelle-Aquitaine,mortalite,153.0,pour 100 000 hab
cancer,2018,Occitanie,incidence,378.0,pour 100 000 hab
cancer,2018,Occitanie,mortalite,148.0,pour 100 000 hab
cancer,2018,Pays de la Loire,incidence,363.0,pour 100 000 hab
cancer,2018,Pays de la Loire,mortalite,148.0,pour 100 000 hab
cancer,2018,Provence-Alpes-Côte d'Azur,incidence,382.0,pour 100 000 hab
cancer,2018,Provence-Alpes-Côte d'Azur,mortalite,142.0,pour 100 000 hab
cancer,2018,Île-de-France,incidence,352.0,pour 100 000 hab
cancer,2018,Île-de-France,mortalite,147.0,pour 100 000 hab
cardiovasculaire,2018,Auvergne-Rhône-Alpes,prevalence,9.2,%
cardiovasculaire,2018,Auvergne-Rhône-Alpes,mortalite,162.0,pour 100 000 hab
cardiovasculaire,2018,Bourgogne-Franche-Comté,prevalence,8.1,%
cardiovasculaire,2018,Bourgogne-Franche-Comté,mortalite,166.0,pour 100 000 hab
cardiovasculaire,2018,Bretagne,prevalence,8.1,%
cardiovasculaire,2018,Bretagne,mortalite,151.0,pour 100 000 hab
cardiovasculaire,2018,Centre-Val de Loire,prevalence,9.2,%
