maladie,annee,region,indicateur,valeur,unite
troubles_mentaux,2018,Auvergne-Rhône-Alpes,prevalence,15.0,%
troubles_mentaux,2018,Auvergne-Rhône-Alpes,incidence,332.0,pour 100 000 hab
troubles_mentaux,2018,Auvergne-Rhône-Alpes,mortalite,16.0,pour 100 000 hab
troubles_mentaux,2018,Bourgogne-Franche-Comté,prevalence,15.4,%
troubles_mentaux,2018,Bourgogne-Franche-Comté,incidence,306.0,pour 100 000 hab
troubles_mentaux,2018,Bourgogne-Franche-Comté,mortalite,16.0,pour 100 000 hab
troubles_mentaux,2018,Bretagne,prevalence,15.1,%
troubles_mentaux,2018,Bretagne,incidence,301.0,pour 100 000 hab
troubles_mentaux,2018,Bretagne,mortalite,13.0,pour 100 000 hab
troubles_mentaux,2018,Centre-Val de Loire,prevalence,15.6,%
troubles_mentaux,2018,Centre-Val de Loire,incidence,332.0,pour 100 000 hab
troubles_mentaux,2018,Centre-Val de Loire,mortalite,14.0,pour 100 000 hab
troubles_mentaux,2018,Corse,prevalence,15.5,%
troubles_mentaux,2018,Corse,incidence,341.0,pour 100 000 hab
troubles_mentaux,2018,Corse,mortalite,13.0,pour 100 000 hab
troubles_mentaux,2018,Grand Est,prevalence,16.1,%
troubles_mentaux,2018,Grand Est,incidence,301.0,pour 100 000 hab
troubles_mentaux,2018,Grand Est,mortalite,19.0,pour 100 000 hab
troubles_mentaux,2018,Hauts-de-France,prevalence,15.5,%
troubles_mentaux,2018,Hauts-de-France,incidence,311.0,pour 100 000 hab
troubles_mentaux,2018,Hauts-de-France,mortalite,17.0,pour 100 000 hab
troubles_mentaux,2018,Normandie,prevalence,15.1,%
troubles_mentaux,2018,Normandie,incidence,349.0,pour 100 000 hab
troubles_mentaux,2018,Normandie,mortalite,13.0,pour 100 000 hab
troubles_mentaux,2018,Nouvelle-Aquitaine,prevalence,15.1,%
troubles_mentaux,2018,Nouvelle-Aquitaine,incidence,343.0,pour 100 000 hab
troubles_mentaux,2018,Nouvelle-Aquitaine,mortalite,17.0,pour 100 000 hab
troubles_mentaux,2018,Occitanie,prevalence,15.8,%
troubles_mentaux,2018,Occitanie,incidence,308.0,pour 100 000 hab
troubles_mentaux,2018,Occitanie,mortalite,16.0,pour 100 000 hab
troubles_mentaux,2018,Pays de la Loire,prevalence,15.5,%
troubles_mentaux,2018,Pays de la Loire,incidence,303.0,pour 100 000 hab
troubles_mentaux,2018,Pays de la Loire,mortalite,17.0,pour 100 000 hab
troubles_mentaux,2018,Provence-Alpes-Côte d'Azur,prevalence,15.8,%
troubles_mentaux,2018,Provence-Alpes-Côte d'Azur,incidence,302.0,pour 100 000 hab
troubles_mentaux,2018,Provence-Alpes-Côte d'Azur,mortalite,12.0,pour 100 000 hab
troubles_mentaux,2018,Île-de-France,prevalence,16.0,%
