maladie,annee,region,indicateur,valeur,unite
troubles_neurologiques,2018,Auvergne-Rhône-Alpes,prevalence,4.4,%
troubles_neurologiques,2018,Auvergne-Rhône-Alpes,incidence,72.0,pour 100 000 hab
troubles_neurologiques,2018,Auvergne-Rhône-Alpes,mortalite,12.0,pour 100 000 hab
troubles_neurologiques,2018,Bourgogne-Franche-Comté,prevalence,4.4,%
troubles_neurologiques,2018,Bourgogne-Franche-Comté,incidence,76.0,pour 100 000 hab
troubles_neurologiques,2018,Bourgogne-Franche-Comté,mortalite,16.0,pour 100 000 hab
troubles_neurologiques,2018,Bretagne,prevalence,4.1,%
troubles_neurologiques,2018,Bretagne,incidence,61.0,pour 100 000 hab
troubles_neurologiques,2018,Bretagne,mortalite,11.0,pour 100 000 hab
troubles_neurologiques,2018,Centre-Val de Loire,prevalence,4.2,%
troubles_neurologiques,2018,Centre-Val de Loire,incidence,62.0,pour 100 000 hab
troubles_neurologiques,2018,Centre-Val de Loire,mortalite,12.0,pour 100 000 hab
troubles_neurologiques,2018,Corse,prevalence,4.1,%
troubles_neurologiques,2018,Corse,incidence,61.0,pour 100 000 hab
troubles_neurologiques,2018,Corse,mortalite,11.0,pour 100 000 hab
troubles_neurologiques,2018,Grand Est,prevalence,4.7,%
troubles_neurologiques,2018,Grand Est,incidence,71.0,pour 100 000 hab
troubles_neurologiques,2018,Grand Est,mortalite,11.0,pour 100 000 hab
troubles_neurologiques,2018,Hauts-de-France,prevalence,4.5,%
troubles_neurologiques,2018,Hauts-de-France,incidence,61.0,pour 100 000 hab
troubles_neurologiques,2018,Hauts-de-France,mortalite,11.0,pour 100 000 hab
troubles_neurologiques,2018,Normandie,prevalence,4.1,%
troubles_neurologiques,2018,Normandie,incidence,69.0,pour 100 000 hab
troubles_neurologiques,2018,Normandie,mortalite,19.0,pour 100 000 hab
troubles_neurologiques,2018,Nouvelle-Aquitaine,prevalence,4.5,%
troubles_neurologiques,2018,Nouvelle-Aquitaine,incidence,73.0,pour 100 000 hab
troubles_neurologiques,2018,Nouvelle-Aquitaine,mortalite,13.0,pour 100 000 hab
troubles_neurologiques,2018,Occitanie,prevalence,4.4,%
troubles_neurologiques,2018,Occitanie,incidence,68.0,pour 100 000 hab
troubles_neurologiques,2018,Occitanie,mortalite,18.0,pour 100 000 hab
troubles_neurologiques,2018,Pays de la Loire,prevalence,4.5,%
troubles_neurologiques,2018,Pays de la Loire,incidence,73.0,pour 100 000 hab
troubles_neurologiques,2018,Pays de la Loire,mortalite,13.0,pour 100 000 hab
troubles_neurologiques,2018,Provence-Alpes-Côte d'Azur,prevalence,4.0,%
troubles_neurologiques,2018,Provence-Alpes-Côte d'Azur,incidence,72.0,pour 100 000 hab
troubles_neurologiques,2018,Provence-Alpes-Côte d'Azur,mortalite,12.0,pour 100 000 hab
troubles_neurologiques,2018,Île-de-France,prevalence,4.2,%
troubles_neurologiques,2018,Île-de-France,incidence,62.0,pour 100 000 hab
troubles_neurologiques,2018,Île-de-France,mortalite,12.0,pour 100 000 hab
troubles_neurologiques,2019,Auvergne-Rhône-Alpes,prevalence,4.45,%
