maladie,annee,region,indicateur,valeur,unite
obesite,2018,Auvergne-Rhône-Alpes,prevalence,12.0,%
obesite,2018,Auvergne-Rhône-Alpes,incidence,262.0,pour 100 000 hab
obesite,2018,Auvergne-Rhône-Alpes,mortalite,5.0,pour 100 000 hab
obesite,2018,Bourgogne-Franche-Comté,prevalence,12.4,%
obesite,2018,Bourgogne-Franche-Comté,incidence,286.0,pour 100 000 hab
obesite,2018,Bourgogne-Franche-Comté,mortalite,9.0,pour 100 000 hab
obesite,2018,Bretagne,prevalence,12.1,%
obesite,2018,Bretagne,incidence,251.0,pour 100 000 hab
obesite,2018,Bretagne,mortalite,6.0,pour 100 000 hab
obesite,2018,Centre-Val de Loire,prevalence,12.6,%
obesite,2018,Centre-Val de Loire,incidence,252.0,pour 100 000 hab
obesite,2018,Centre-Val de Loire,mortalite,5.0,pour 100 000 hab
obesite,2018,Corse,prevalence,12.5,%
obesite,2018,Corse,incidence,251.0,pour 100 000 hab
obesite,2018,Corse,mortalite,10.0,pour 100 000 hab
obesite,2018,Grand Est,prevalence,13.1,%
obesite,2018,Grand Est,incidence,281.0,pour 100 000 hab
obesite,2018,Grand Est,mortalite,10.0,pour 100 000 hab
obesite,2018,Hauts-de-France,prevalence,12.5,%
obesite,2018,Hauts-de-France,incidence,271.0,pour 100 000 hab
obesite,2018,Hauts-de-France,mortalite,10.0,pour 100 000 hab
obesite,2018,Normandie,prevalence,12.1,%
obesite,2018,Normandie,incidence,259.0,pour 100 000 hab
obesite,2018,Normandie,mortalite,6.0,pour 100 000 hab
obesite,2018,Nouvelle-Aquitaine,prevalence,12.1,%
obesite,2018,Nouvelle-Aquitaine,incidence,263.0,pour 100 000 hab
obesite,2018,Nouvelle-Aquitaine,mortalite,6.0,pour 100 000 hab
obesite,2018,Occitanie,prevalence,12.8,%
obesite,2018,Occitanie,incidence,278.0,pour 100 000 hab
obesite,2018,Occitanie,mortalite,7.0,pour 100 000 hab
